ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
82,"Mary-Joe Fernandez","08/19/71 00:00:00","USA",,,,,,,,,,,,5258471,,,,,,,
83,"Amanda Coetzer","10/22/71 00:00:00","RSA",,,,,,,,,,,,5594821,,,,,,,
84,"Kimberly Po-Messerli","10/20/71 00:00:00","USA",,,,,,,,,,,,1926618,,,,,,,
85,"Natalia Zvereva","04/16/71 00:00:00","BLR",,,,,,,,,,,,7792503,,,,,,,
86,"Iva Majoli","08/12/77 00:00:00","CRO",,,,,,,,,,,,4407521,,,,,,,
87,"Irina Spirlea","03/26/74 00:00:00","ROU",,,,,,,,,,,,2652068,,,,,,,
88,"Mary Pierce","01/15/75 00:00:00","FRA",,,,,,,,,,,,9793119,,,,,,,
89,"Yayuk Basuki","11/30/70 00:00:00","INA",,,,,,,,,,,,1665152,,,,,,,
90,"Nicole Bradtke","09/22/69 00:00:00","AUS",,,,,,,,,,,,1298972,,,,,,,
91,"Martina Hingis","09/30/80 00:00:00","SUI",,,,,,,,,,,,24749074,,,,,,,
92,"Steffi Graf","06/14/69 00:00:00","GER",,,,,,,,,,,,21895277,,,,,,,
93,"Evie Dominikovic","05/29/80 00:00:00","AUS",,,,,,,,,,,,638461,,,,,,,
94,"Bryanne Stewart","12/09/79 00:00:00","AUS",,,,,,,,,,,,539614,,,,,,,
95,"Gigi Fernandez","02/22/64 00:00:00","USA",,,,,,,,,,,,4681906,,,,,,,
96,"Barbara Mulej","05/29/74 00:00:00","SLO",,,,,,,,,,,,124996,,,,,,,
97,"Kyoko Nagatsuka","02/22/74 00:00:00","JPN",,,,,,,,,,,,421541,,,,,,,
98,"Anna Kournikova","06/07/81 00:00:00","RUS",,,,,,,,,,,,3584662,,,,,,,
99,"Sung-Hee Park","02/17/75 00:00:00","KOR",,,,,,,,,,,,439788,,,,,,,
100,"Ludmila Richterova","03/07/77 00:00:00","CZE",,,,,,,,,,,,316919,,,,,,,
101,"Jane Taylor","11/07/72 00:00:00","AUS",,,,,,,,,,,,131761,,,,,,,
102,"Maria Sanchez Lorenzo","11/07/77 00:00:00","ESP",,,,,,,,,,,,1268365,,,,,,,
103,"Flora Perfetti","01/29/69 00:00:00","ITA",,,,,,,,,,,,425684,,,,,,,
104,"Conchita Martinez","04/16/72 00:00:00","ESP",,,,,,,,,,,,11527976,,,,,,,
105,"Adriana Gersi","06/26/76 00:00:00","CZE",,,,,,,,,,,,,,,,,,,
106,"Petra Pichalova-Langrova","06/27/70 00:00:00","CZE",,,,,,,,,,,,633808,,,,,,,
107,"Kristie Boogert","12/16/73 00:00:00","NED",,,,,,,,,,,,1364008,,,,,,,
108,"Nicole Arendt","08/26/69 00:00:00","USA",,,,,,,,,,,,1642964,,,,,,,
109,"Angeles Montolio","08/06/75 00:00:00","ESP",,,,,,,,,,,,720661,,,,,,,
110,"Natalia Medvedeva","11/15/71 00:00:00","UKR",,,,,,,,,,,,906455,,,,,,,
111,"Li-Ling Chen","03/13/71 00:00:00","CHN",,,,,,,,,,,,,,,,,,,
112,"Marketa Kochta","07/14/75 00:00:00","GER",,,,,,,,,,,,375688,,,,,,,
113,"Lori Mcneil","12/18/63 00:00:00","USA",,,,,,,,,,,,3441604,,,,,,,
114,"Nancy Feber","02/05/76 00:00:00","BEL",,,,,,,,,,,,315324,,,,,,,
115,"Wiltrud Probst","05/29/69 00:00:00","GER",,,,,,,,,,,,824173,,,,,,,
116,"Joannette Kruger","09/03/73 00:00:00","RSA",,,,,,,,,,,,1083908,,,,,,,
117,"Corina Morariu","01/26/78 00:00:00","USA",,,,,,,,,,,,1733916,,,,,,,
118,"Silvija Talaja","01/14/78 00:00:00","CRO",,,,,,,,,,,,1135876,,,,,,,
119,"Virginia Ruano Pascual","09/21/73 00:00:00","ESP",,,,,,,,,,,,6076080,,,,,,,
120,"Noelle Van Lottum","07/12/72 00:00:00","FRA",,,,,,,,,,,,559094,,,,,,,
121,"Kristina Brandi","03/29/77 00:00:00","PUR",,,,,,,,,,,,1248528,,,,,,,
122,"Petra Begerow","04/14/75 00:00:00","GER",,,,,,,,,,,,340523,,,,,,,
123,"Kristine Kunce","03/03/70 00:00:00","AUS",,,,,,,,,,,,700961,,,,,,,
124,"Henrieta Nagyova","12/15/78 00:00:00","SVK",,,,,,,,,,,,1742469,,,,,,,
125,"Emmanuelle Gagliardi","07/09/76 00:00:00","SUI",,,,,,,,,,,,1739751,,,,,,,
126,"Radomira Zrubakova","12/26/70 00:00:00","SVK",,,,,,,,,,,,1074479,,,,,,,
127,"Sandra Kleinova","05/08/78 00:00:00","CZE",,,,,,,,,,,,770761,,,,,,,
128,"Tami Whitlinger-Jones","11/13/68 00:00:00","USA",,,,,,,,,,,,32280,,,,,,,
129,"Tatjana Jecmenica","07/04/78 00:00:00","SRB",,,,,,,,,,,,163876,,,,,,,
130,"Katrina Adams","08/05/68 00:00:00","USA",,,,,,,,,,,,1294235,,,,,,,
131,"Bettina Fulco-Villella","10/23/68 00:00:00","ARG",,,,,,,,,,,,,,,,,,,
132,"Denisa Chladkova","02/08/79 00:00:00","CZE",,,,,,,,,,,,1343285,,,,,,,
133,"Gloria Pizzichini","07/24/75 00:00:00","ITA",,,,,,,,,,,,448056,,,,,,,
134,"Seda Noorlander","05/22/74 00:00:00","NED",,,,,,,,,,,,623689,,,,,,,
135,"Ludmila Varmuzova","02/25/79 00:00:00","CZE",,,,,,,,,,,,,,,,,,,
136,"Jana Novotna","10/02/68 00:00:00","CZE",,,,,,,,,,,,11249284,,,,,,,
137,"Magdalena Maleeva","04/01/75 00:00:00","BUL",,,,,,,,,,,,4398582,,,,,,,
138,"Nathalie Tauziat","10/17/67 00:00:00","FRA",,,,,,,,,,,,6650093,,,,,,,
