ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
154,"Alberto Berasategui","06/28/73 00:00:00","ESP",,,,,,,,,,,,4676187,,,,,,,
155,"Allen Belobrajdic","09/18/76 00:00:00","AUS",,,,,,,,,,,,83068,,,,,,,
156,"Peter Tramacchi","11/08/70 00:00:00","AUS",,,,,,,,,,,,526544,,,,,,,
157,"Todd Larkham","10/13/74 00:00:00","AUS",,,,,,,,,,,,306108,,,,,,,
158,"Leander Paes","06/17/73 00:00:00","IND",,,,,,,,,,,,8587586,,,,,,,
159,"Daniel Nestor","09/04/72 00:00:00","CAN",,,,,,,,,,,,12835671,,,,,,,
160,"Gilbert Schaller","03/17/69 00:00:00","AUT",,,,,,,,,,,,1317163,,,,,,,
161,"Radomir Vasek","09/23/72 00:00:00","CZE",,,,,,,,,,,,418622,,,,,,,
162,"Arnaud Boetsch","04/01/69 00:00:00","FRA",,,,,,,,,,,,3031247,,,,,,,
163,"Dennis Van Scheppingen","07/05/75 00:00:00","NED",,,,,,,,,,,,871886,,,,,,,
164,"David Wheaton","06/02/69 00:00:00","USA",,,,,,,,,,,,5238401,,,,,,,
165,"Marcello Craca","10/27/74 00:00:00","GER",,,,,,,,,,,,273659,,,,,,,
166,"Jacobo Diaz-Ruiz","07/11/76 00:00:00","ESP",,,,,,,,,,,,689680,,,,,,,
167,"Marcos Ondruska","12/18/72 00:00:00","RSA",,,,,,,,,,,,1835129,,,,,,,
168,"Christophe Van Garsse","06/21/74 00:00:00","BEL",,,,,,,,,,,,249730,,,,,,,
169,"David Witt","06/02/73 00:00:00","USA",,,,,,,,,,,,295543,,,,,,,
170,"Jonathan Stark","04/03/71 00:00:00","USA",,,,,,,,,,,,3220867,,,,,,,
171,"Jurek Stasiak","04/23/78 00:00:00","AUS",,,,,,,,,,,,37058,,,,,,,
172,"Jordi Burillo","12/07/72 00:00:00","ESP",,,,,,,,,,,,1198126,,,,,,,
173,"Lucas Arnold-Ker","10/12/74 00:00:00","ARG",,,,,,,,,,,,1745936,,,,,,,
174,"Alex O'Brien","03/07/70 00:00:00","USA",,,,,,,,,,,,3526390,,,,,,,
175,"Steve Campbell","10/22/70 00:00:00","USA",,,,,,,,,,,,484898,,,,,,,
176,"Justin Gimelstob","01/26/77 00:00:00","USA",,,,,,,,,,,,2575522,,,,,,,
177,"Emilio Benfele-Alvarez","11/15/72 00:00:00","ESP",,,,,,,,,,,,902099,,,,,,,
178,"Sandon Stolle","07/13/70 00:00:00","AUS",,,,,,,,,,,,3762442,,,,,,,
179,"Thomas Muster","10/02/67 00:00:00","AUT",,,,,,,,,,,,12266977,,,,,,,
180,"Jan Apell","11/04/69 00:00:00","SWE",,,,,,,,,,,,1404957,,,,,,,
181,"Renzo Furlan","05/17/70 00:00:00","ITA",,,,,,,,,,,,2449043,,,,,,,
182,"Marzio Martelli","12/14/71 00:00:00","ITA",,,,,,,,,,,,320131,,,,,,,
183,"Dinu-Mihai Pescariu","04/12/74 00:00:00","ROU",,,,,,,,,,,,676539,,,,,,,
184,"Karsten Braasch","07/14/67 00:00:00","GER",,,,,,,,,,,,1497244,,,,,,,
185,"Luke Smith","10/25/76 00:00:00","AUS",,,,,,,,,,,,84208,,,,,,,
186,"Mark Knowles","09/04/71 00:00:00","BAH",,,,,,,,,,,,7058933,,,,,,,
187,"Grant Doyle","01/09/74 00:00:00","AUS",,,,,,,,,,,,318037,,,,,,,
188,"Jaime Oncins","06/16/70 00:00:00","BRA",,,,,,,,,,,,1211476,,,,,,,
189,"Adrian Voinea","08/06/74 00:00:00","ROU",,,,,,,,,,,,1836277,,,,,,,
190,"Andrei Chesnokov","02/02/66 00:00:00","RUS",,,,,,,,,,,,3084188,,,,,,,
191,"Gerard Solves","04/07/68 00:00:00","FRA",,,,,,,,,,,,403190,,,,,,,
192,"Patrick Baur","05/03/65 00:00:00","GER",,,,,,,,,,,,709282,,,,,,,
193,"Joaquin Munoz-Hernandez","01/04/75 00:00:00","ESP",,,,,,,,,,,,141249,,,,,,,
194,"Ionut Moldovan","01/17/78 00:00:00","ROU",,,,,,,,,,,,222260,,,,,,,
195,"Steve Bryan","08/10/70 00:00:00","USA",,,,,,,,,,,,552962,,,,,,,
196,"Hernan Gumy","03/05/72 00:00:00","ARG",,,,,,,,,,,,1226776,,,,,,,
197,"Julien Chauvin","04/17/75 00:00:00","FRA",,,,,,,,,,,,22562,,,,,,,
198,"Gaston Etlis","11/04/74 00:00:00","ARG",,,,,,,,,,,,1559459,,,,,,,
200,"Mounir El Aarej","06/16/77 00:00:00","MAR",,,,,,,,,,,,127568,,,,,,,
201,"Lars Jonsson","06/27/70 00:00:00","SWE",,,,,,,,,,,,888998,,,,,,,
202,"Patrick McEnroe","07/01/66 00:00:00","USA",,,,,,,,,,,,3118316,,,,,,,
203,"Tomas Carbonell","08/07/68 00:00:00","ESP",,,,,,,,,,,,3157584,,,,,,,
204,"Jozsef Krocsko","04/20/68 00:00:00","HUN",,,,,,,,,,,,146884,,,,,,,
205,"David Skoch","11/06/76 00:00:00","CZE",,,,,,,,,,,,949707,,,,,,,
206,"Bernardo Mota","06/14/71 00:00:00","POR",,,,,,,,,,,,253659,,,,,,,
207,"Marcos-Aurelio Gorriz-Bonhora","03/04/64 00:00:00","ESP",,,,,,,,,,,,662335,,,,,,,
208,"Omar Camporese","05/08/68 00:00:00","ITA",,,,,,,,,,,,1610475,,,,,,,
209,"Oliver Gross","06/17/73 00:00:00","GER",,,,,,,,,,,,876452,,,,,,,
211,"Gerald Mandl","11/12/70 00:00:00","AUT",,,,,,,,,,,,113624,,,,,,,
212,"Ramon Delgado","11/14/76 00:00:00","PAR",,,,,,,,,,,,1385410,,,,,,,
213,"Daniel Orsanic","06/11/68 00:00:00","ARG",,,,,,,,,,,,991800,,,,,,,
214,"Carsten Arriens","04/11/69 00:00:00","GER",,,,,,,,,,,,314588,,,,,,,
215,"Andrei Olhovskiy","04/15/66 00:00:00","RUS",,,,,,,,,,,,3208620,,,,,,,
216,"Yasufumi Yamamoto","05/03/71 00:00:00","JPN",,,,,,,,,,,,89348,,,,,,,
217,"Jeff Salzenstein","10/14/73 00:00:00","USA",,,,,,,,,,,,616017,,,,,,,
218,"Boris Becker","11/22/67 00:00:00","GER",,,,,,,,,,,,25080956,,,,,,,
219,"Sebastien Lareau","04/27/73 00:00:00","CAN",,,,,,,,,,,,2879682,,,,,,,
220,"Mark Petchey","08/01/70 00:00:00","GBR",,,,,,,,,,,,657776,,,,,,,
221,"Tomas Behrend","12/12/74 00:00:00","GER",,,,,,,,,,,,977352,,,,,,,
222,"Roberto Carretero-Diaz","08/30/75 00:00:00","ESP",,,,,,,,,,,,,,,,,,,
223,"Nicklas Kulti","04/22/71 00:00:00","SWE",,,,,,,,,,,,3186946,,,,,,,
224,"Paul Haarhuis","02/19/66 00:00:00","NED",,,,,,,,,,,,7751962,,,,,,,
225,"Diego Nargiso","03/15/70 00:00:00","ITA",,,,,,,,,,,,1807857,,,,,,,
226,"Mahesh Bhupathi","06/07/74 00:00:00","IND",,,,,,,,,,,,6665907,,,,,,,
