ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
45,"1989",74,178,"Tahiti","Geneva, Switzerland","Right-Handed, Two-Handed Backhand","Laurent Raymond","http://fabricesantoro.info","http://www.atpworldtour.com/en/players/fabrice-santoro/s424/overview","https://twitter.com/fabsantoro72","https://www.facebook.com/Fabrice-Santoro-24018221927/","https://www.instagram.com/fabricesantoro/","01.01.2023"
46,"1994",78,188,"Barcelona, Spain","Barcelona, Spain","Right-Handed, Two-Handed Backhand","Marcos Aurelio Gorriz",,"http://www.atpworldtour.com/en/players/albert-portas/p305/overview",,"https://www.facebook.com/albert.portas.14/",,"01.01.2023"
47,"1995",74,180,"Korbach, Germany","Baech, Switzerland","Right-Handed, Two-Handed Backhand","Dirk Hordorff","http://www.rainer-schuettler.de","http://www.atpworldtour.com/en/players/rainer-schuettler/s636/overview","https://twitter.com/rschuettler","https://www.facebook.com/Rainer-Schuettler-74704009656/",,"01.01.2023"
48,"1991",91,193,"Montreal, Quebec, Canada","London, England","Left-Handed, Unknown Backhand","No Coach",,"http://www.atpworldtour.com/en/players/greg-rusedski/r237/overview","https://twitter.com/gregrusedski1","https://www.facebook.com/Greg-Rusedski-and-Tennis-862931390430450/","https://www.instagram.com/gregrusedski1/","01.01.2023"
49,"1993",82,191,"Cologne, Germany","Andorra","Right-Handed, One-Handed Backhand","Francisco Altur",,"http://www.atpworldtour.com/en/players/alex-calatrava/c361/overview",,,,"01.01.2023"
50,"1995",82,185,"Kibutz Nahshonin, Israel","Ramat-Hasharon, Israel","Right-Handed, Unknown Backhand","Oded Jacob",,"http://www.atpworldtour.com/en/players/harel-levy/l336/overview",,,,"01.01.2023"
51,"1984",80,180,"Bari, Italy","Bari, Italy","Left-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/gianluca-pozzi/p045/overview",,,,"01.01.2023"
52,"1998",73,180,"Malmo, Sweden","Malmo, Sweden","Left-Handed, Unknown Backhand","Mikael Tillstrom","http://www.andreasvinciguerra.com","http://www.atpworldtour.com/en/players/andreas-vinciguerra/v250/overview",,,,"01.01.2023"
53,"1990",86,193,"Rabat, Morocco","Rabat, Morocco","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/younes-el-aynaoui/e121/overview",,"https://www.facebook.com/younes.aynaoui/",,"01.01.2023"
54,"1993",79,188,"Viareggio, Italy","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand","Claudio Pistolesi",,"http://www.atpworldtour.com/en/players/davide-sanguinetti/s480/overview",,"https://www.facebook.com/davide.sanguinetti.98/",,"01.01.2023"
55,"1994",78,180,"Bucharest, Romania","Melbourne, Victoria, Australia","Right-Handed, Unknown Backhand","Dan Ilie",,"http://www.atpworldtour.com/en/players/andrew-ilie/i052/overview",,,,"01.01.2023"
56,"1995",73,175,"Barcelona, Spain","Barcelona, Spain","Right-Handed, One-Handed Backhand","Marcos Gorriz",,"http://www.atpworldtour.com/en/players/alberto-martin/m590/overview",,"https://www.facebook.com/villareal.tenis/",,"01.01.2023"
57,"1998",78,180,"San Francisco (Cordoba), Argentina","Buenos Aires, Argentina","Left-Handed, One-Handed Backhand","Guillermo Perez-Roldan",,"http://www.atpworldtour.com/en/players/mariano-puerta/p372/overview",,,,"01.01.2023"
58,"1993",77,188,"Dijon, France","Boca Raton, Florida, USA","Left-Handed, Unknown Backhand","Francois Ribeyro",,"http://www.atpworldtour.com/en/players/jerome-golmard/g319/overview",,,,"01.01.2023"
59,"1998",80,185,"Casablanca, Morocco","Geneva, Switzerland","Right-Handed, One-Handed Backhand","Simon Viot",,"http://www.atpworldtour.com/en/players/arnaud-di-pasquale/d357/overview","https://twitter.com/arnaudpasquale",,,"01.01.2023"
60,"1991",91,193,"Kiev, Ukraine","Monte Carlo, Monaco","Right-Handed, Unknown Backhand","Andrei Rybalko","http://www.medvedev.org","http://www.atpworldtour.com/en/players/andrei-medvedev/m475/overview",,,,"01.01.2023"
61,"1991",70,175,"Harare, Zimbabwe","Harare, Zimbabwe","Right-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/byron-black/b397/overview",,,,"01.01.2023"
62,"1988",88,201,"Geneva, Switzerland","Monte Carlo, Monaco","Right-Handed, Unknown Backhand",,"http://www.marcrosset.com","http://www.atpworldtour.com/en/players/marc-rosset/r214/overview",,,,"01.01.2023"
