id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
32703,58,31,27,244,92,68,69,51,60,38,186,170
48013,72,41,31,557,258,61,74,47,64,42,0,0
26965,78,51,27,150,143,69,66,54,58,46,190,169
6101,20,9,11,245,88,55,77,50,65,41,209,197
84060,66,39,27,237,158,57,69,50,57,42,201,163
59092,63,36,27,411,123,58,72,50,58,39,214,178
27205,77,47,30,165,209,65,64,49,57,45,0,0
23640,54,22,32,279,132,60,68,51,57,39,206,182
50382,74,47,27,318,254,61,71,51,65,41,0,0
79088,79,47,32,203,142,65,66,48,57,44,196,173
29906,74,41,33,298,193,58,70,51,57,43,0,0
19474,59,28,31,221,148,58,68,48,61,42,187,167
55828,91,64,27,243,280,60,69,51,60,47,0,0
39863,58,30,28,285,164,56,70,52,62,45,213,185
55257,59,36,23,141,213,58,68,50,57,42,193,175
48871,68,40,28,199,173,61,68,50,59,43,189,171
62166,64,41,23,548,221,57,77,51,65,44,0,0
72877,65,37,28,378,200,55,71,50,63,43,0,0
29665,83,46,37,117,211,65,64,48,57,47,0,0
14432,22,10,12,71,66,62,68,49,55,42,181,163
61857,78,48,30,393,184,61,72,52,60,42,0,0
47566,74,43,31,299,64,64,68,49,59,41,0,0
38973,65,40,25,92,254,65,64,47,54,46,0,0
47387,58,34,24,332,198,62,72,53,60,38,0,0
25533,72,39,33,523,185,62,71,52,62,37,213,189
82269,67,33,34,303,175,61,70,49,60,40,0,0
88766,55,31,24,253,113,62,69,49,62,42,191,177
12498,70,44,26,85,181,70,65,52,58,46,204,180
39043,62,36,26,161,191,59,68,51,62,41,0,0
23301,49,29,20,321,172,55,75,48,61,41,204,183
14861,77,44,33,354,263,58,70,47,60,43,201,174
14716,83,51,32,324,245,58,70,50,60,41,0,0
26153,57,27,30,199,123,59,67,50,55,39,201,180
35323,63,30,33,476,183,67,73,48,62,35,194,180
46718,53,26,27,427,113,59,75,51,61,41,215,187
56197,68,34,34,540,199,62,71,51,62,41,214,192
11522,78,48,30,466,163,57,73,49,62,41,0,0
55290,104,70,34,88,113,73,61,52,57,50,0,0
14898,75,51,24,368,178,55,72,51,60,47,0,0
34349,79,45,34,606,305,60,73,50,67,35,0,0
48396,73,39,34,183,86,65,65,50,56,43,0,0
32887,73,35,38,337,209,56,69,51,61,39,197,179
34968,73,43,30,267,159,60,69,51,56,39,0,0
18771,66,32,34,186,138,60,67,52,58,39,196,172
12097,67,33,34,266,129,58,67,49,54,42,202,180
44595,49,21,28,224,172,53,70,51,59,37,207,184
28774,91,70,21,370,190,61,69,54,61,46,0,0
38273,71,41,30,133,208,63,63,51,58,46,0,0
63299,65,38,27,86,315,63,63,43,52,48,187,166
83314,71,39,32,138,168,61,64,53,59,43,0,0
30626,76,46,30,502,238,58,72,49,64,40,207,179
71083,52,35,17,224,123,64,68,51,55,42,196,180
87283,66,37,29,399,227,63,72,49,61,37,212,186
20463,66,41,25,322,194,55,72,50,57,38,0,0
53722,68,42,26,186,263,55,67,46,56,46,0,0
56641,84,57,27,105,277,58,68,48,61,47,185,176
80391,60,33,27,108,181,63,62,49,55,43,0,0
79113,73,47,26,174,163,61,66,48,57,45,0,0
73742,61,28,33,149,235,54,66,47,54,42,196,169
29953,61,33,28,245,106,67,67,51,60,38,199,185
57769,36,18,18,282,90,60,73,49,63,41,220,195
11704,11,6,5,196,42,62,83,54,62,22,224,207
45979,69,40,29,261,153,64,69,52,59,40,193,169
73983,65,35,30,47,164,65,61,48,55,43,0,0
37492,70,45,25,155,233,57,67,50,57,48,0,0
63737,74,37,37,382,231,60,69,45,60,40,222,197
56274,58,29,29,629,208,61,76,49,65,39,230,196
54207,55,29,26,710,501,60,79,49,61,35,220,194
26832,81,48,33,367,246,64,72,51,63,43,207,178
17264,72,35,37,208,141,62,64,48,53,49,194,163
53532,74,51,23,242,224,66,69,49,63,47,0,0
58609,83,56,27,334,258,59,73,51,63,43,0,0
47021,57,28,29,158,156,60,66,52,59,38,198,170
76009,74,39,35,286,287,60,67,49,62,40,210,177
