TOUR,DATE_GAME,ID1,ID2,ROUND,DRAW,RESULT,COMPLETE,LIVE,TIME_GAME,RESERVE_INT,RESERVE_CHAR
16123,,96317,99752,9,4,"1-6 6-1 10-6",,,,,
16123,,99898,99758,10,1,"6-1 6-2",,,,,
16123,,96317,99756,10,2,"6-1 6-3",,,,,
16123,,99898,96317,12,1,,,,,,
16122,,57876,53310,4,1,"6-0 6-0",,,,,
16122,"03/26/25 14:40:00",97633,95775,4,2,"1-6 6-2 6-4",,,,,
16122,"03/26/25 15:05:00",82042,82897,4,3,"6-2 6-4",,,,,
16122,"03/26/25 11:35:00",75198,71168,4,4,"6-4 6-0",,,,,
16122,,73699,68932,4,5,"6-4 6-0",,,,,
16122,"03/25/25 14:50:00",67521,34127,4,6,"6-2 6-2",,,,,
16122,"03/25/25 16:25:00",80106,73601,4,7,"7-6(6) 6-1",,,,,
16122,"03/26/25 13:15:00",46577,81158,4,8,"7-5 6-1",,,,,
16122,,28074,17335,4,9,"7-6(6) 7-5",,,,,
16122,"03/25/25 13:10:00",47425,76088,4,10,"6-2 6-3",,,,,
16122,"03/26/25 10:30:00",73456,66328,4,11,"6-3 6-2",,,,,
16122,"03/26/25 15:35:00",65615,43007,4,12,"6-1 6-7(4) 6-2",,,,,
16122,"03/26/25 10:35:00",74179,38701,4,13,"6-2 4-6 7-6(5)",,,,,
16122,"03/26/25 13:40:00",63047,55182,4,14,"6-2 6-3",,,,,
16122,"03/26/25 17:40:00",36895,26130,4,15,"6-0 6-0",,,,,
16122,"03/26/25 16:55:00",67109,61582,4,16,"6-1 6-2",,,,,
16122,,57876,97633,5,1,"6-0 6-1",,,,,
16122,"03/27/25 13:15:00",75198,82042,5,2,"6-2 6-2",,,,,
16122,,73699,67521,5,3,"6-4 6-4",,,,,
16122,"03/27/25 10:35:00",80106,46577,5,4,"6-4 1-6 6-4",,,,,
16122,,47425,28074,5,5,"7-5 4-6 6-1",,,,,
16122,"03/27/25 12:35:00",65615,73456,5,6,"6-1 7-6(0)",,,,,
16122,"03/27/25 14:20:00",63047,74179,5,7,"7-5 1-6 6-2",,,,,
16122,"03/27/25 13:35:00",67109,36895,5,8,"6-3 2-6 6-2",,,,,
16122,,57876,75198,9,1,"6-2 2-6 6-4",,,,,
16122,"03/28/25 11:02:00",73699,80106,9,2,"6-2 6-4",,,,,
16122,"03/28/25 12:40:00",65615,47425,9,3,"1-6 7-5 6-1",,,,,
16122,"03/28/25 12:35:00",67109,63047,9,4,"6-0 6-1",,,,,
16122,"03/29/25 11:30:00",57876,73699,10,1,,,,,,
16122,"03/29/25 11:30:00",65615,67109,10,2,,,,,,
16122,,3700,3700,12,1,,,,,,
16073,"03/28/25 12:00:00",39749,44349,9,1,"6-2 6-2",,,,,
16119,,98857,82562,9,4,"6-3 7-6(3)",,,,,
16115,,78672,92076,10,1,"2-6 6-1 10-5",,,,,
16117,,65268,99930,10,1,"6-4 6-2",,,,,
16118,"03/28/25 19:55:00",37530,23648,9,2,"6-3 5-0 ret.",,,,,
16118,"03/23/25 17:27:00",39347,11325,1,7,"6-7(4) 6-4 6-4",,,,,
16118,"03/23/25 20:50:00",73956,95281,1,15,"6-2 4-6 6-2",,,,,
15956,"03/24/25 00:30:00",53487,48900,6,9,"6-1 3-0 ret.",,,,,
16123,"03/24/25 06:05:00",77122,79771,3,1,"6-1 6-0",,,,,
16118,,61481,3700,4,1,"bye",,,,,
16118,"03/24/25 22:45:00",32186,37189,4,2,"6-2 6-4",,,,,
16118,"03/25/25 18:50:00",17500,55132,4,3,"6-3 6-1",,,,,
16118,,66592,3700,4,4,"bye",,,,,
16118,,55186,3700,4,5,"bye",,,,,
16118,"03/25/25 18:26:00",87418,39347,4,6,"6-0 6-3",,,,,
16120,,71873,14740,1,5,"7-5 2-6 10-8",,,,,
16073,"03/26/25 12:30:00",39749,86003,4,1,"6-1 6-3",,,,,
16073,"03/25/25 12:10:00",24112,73835,4,2,"6-1 6-1",,,,,
16073,"03/26/25 12:30:00",71163,7574,4,4,"6-3 6-2",,,,,
16073,"03/26/25 11:00:00",45072,43323,4,5,"7-5 6-4",,,,,
16073,"03/25/25 12:10:00",59448,59575,4,6,"6-4 7-5",,,,,
16073,"03/25/25 12:10:00",25062,57147,4,7,"6-0 7-5",,,,,
16073,"03/26/25 14:00:00",27035,64937,4,8,"7-6(2) 6-2",,,,,
16073,"03/26/25 14:30:00",9728,27919,4,10,"5-7 6-3 6-4",,,,,
16073,"03/26/25 11:00:00",31727,72174,4,11,"6-0 6-1",,,,,
16073,"03/26/25 12:30:00",54393,17021,4,12,"6-2 6-4",,,,,
16073,"03/25/25 11:00:00",50943,58588,4,13,"4-1 ret.",,,,,
16073,"03/26/25 11:00:00",70327,6590,4,14,"6-3 6-3",,,,,
16073,"03/25/25 11:00:00",73771,72064,4,15,"2-6 6-1 6-4",,,,,
16073,"03/26/25 12:30:00",57090,43866,4,16,"6-3 3-6 6-4",,,,,
16073,"03/27/25 11:00:00",39749,24112,5,1,"6-0 ret.",,,,,
16073,"03/27/25 12:30:00",44349,71163,5,2,"4-6 2-0 ret.",,,,,
16073,"03/27/25 12:30:00",27035,25062,5,4,"6-4 6-4",,,,,
16073,"03/27/25 12:30:00",30797,9728,5,5,"6-2 6-3",,,,,
16073,"03/27/25 11:00:00",54393,31727,5,6,"7-5 7-6(5)",,,,,
16073,"03/27/25 11:00:00",70327,50943,5,7,"6-0 0-6 7-6(4)",,,,,
16073,"03/27/25 11:00:00",57090,73771,5,8,"2-6 6-4 6-3",,,,,
16073,"03/28/25 12:00:00",59448,27035,9,2,"7-5 6-3",,,,,
16073,"03/28/25 12:00:00",54393,30797,9,3,"1-6 7-6(8) 6-2",,,,,
16073,"03/28/25 12:00:00",70327,57090,9,4,"6-4 7-5",,,,,
16073,"03/29/25 11:00:00",39749,59448,10,1,,,,,,
16073,"03/29/25 11:00:00",54393,70327,10,2,,,,,,
16073,,3700,3700,12,1,,,,,,
16119,"03/26/25 15:20:00",67801,27920,4,1,"6-3 6-2",,,,,
16119,"03/26/25 16:55:00",62199,71172,4,2,"6-2 6-1",,,,,
16119,"03/26/25 11:55:00",65791,90258,4,3,"6-1 6-2",,,,,
16119,"03/26/25 11:14:00",55139,87185,4,4,"4-6 6-3 6-3",,,,,
16119,"03/26/25 14:55:00",31016,63291,4,5,"3-6 7-5 6-4",,,,,
16119,"03/26/25 10:05:00",53321,62340,4,6,"6-1 6-0",,,,,
16119,"03/26/25 13:02:00",11878,50613,4,8,"6-1 6-2",,,,,
16119,"03/26/25 13:40:00",74987,32321,4,10,"7-5 6-2",,,,,
16119,"03/26/25 16:38:00",18194,90514,4,11,"2-6 6-3 6-3",,,,,
16119,"03/26/25 11:35:00",57066,75985,4,12,"6-1 6-4",,,,,
16119,"03/26/25 10:05:00",76667,32184,4,13,"6-4 7-5",,,,,
16119,"03/26/25 10:05:00",82562,44114,4,14,"4-6 6-1 6-4",,,,,
16119,,65909,74840,4,15,"3-6 6-4 6-3",,,,,
16119,"03/27/25 12:34:00",62199,67801,5,1,"6-2 7-6(5)",,,,,
16119,"03/27/25 10:05:00",65791,55139,5,2,"6-4 6-7(3) 6-4",,,,,
16119,"03/27/25 10:10:00",53321,31016,5,3,"3-6 6-3 6-4",,,,,
16119,"03/27/25 10:05:00",11878,52978,5,4,"6-1 6-0",,,,,
16119,"03/27/25 13:55:00",74987,87187,5,5,"2-6 6-0 6-3",,,,,
16119,"03/27/25 11:40:00",57066,18194,5,6,"6-1 6-1",,,,,
16119,"03/28/25 10:35:00",62199,65791,9,1,"7-5 6-3",,,,,
16118,,73977,3700,4,8,"bye",,,,,
16118,,37530,3700,4,9,"bye",,,,,
16118,"03/24/25 22:20:00",75388,84425,4,10,"7-6(0) 6-7(1) 6-2",,,,,
16118,"03/25/25 17:15:00",71462,37881,4,11,"6-3 6-2",,,,,
16118,,16947,3700,4,12,"bye",,,,,
16118,,17893,3700,4,13,"bye",,,,,
16118,"03/24/25 21:20:00",23648,23782,4,14,"7-6(4) 6-1",,,,,
16118,"03/24/25 22:40:00",50297,77615,4,15,"6-1 6-0",,,,,
16118,,32501,3700,4,16,"bye",,,,,
16118,,73190,3700,4,17,"bye",,,,,
16118,"03/24/25 21:00:00",57761,86703,4,18,"6-3 6-2",,,,,
16118,"03/25/25 17:50:00",29728,40291,4,19,"6-2 6-2",,,,,
16118,,39921,3700,4,20,"bye",,,,,
16118,,58904,3700,4,21,"bye",,,,,
16118,"03/24/25 23:10:00",75089,59443,4,23,"6-0 6-2",,,,,
16118,,73836,3700,4,24,"bye",,,,,
16118,,37592,3700,4,25,"bye",,,,,
16118,"03/25/25 17:15:00",77378,92288,4,26,"6-1 6-3",,,,,
16118,"03/25/25 18:15:00",12439,72510,4,27,"1-6 6-3 6-0",,,,,
16118,,60086,3700,4,28,"bye",,,,,
16119,"03/28/25 10:35:00",11878,53321,9,2,"3-6 7-5 6-3",,,,,
16119,"03/28/25 12:15:00",74987,57066,9,3,"4-6 6-3 ret.",,,,,
16119,"03/29/25 10:30:00",62199,11878,10,1,,,,,,
16119,,74987,98857,10,2,,,,,,
16119,,3700,3700,12,1,,,,,,
16119,,97037,95923,4,2,"6-2 6-4",,,,,
16119,,98043,99907,4,3,"6-3 6-1",,,,,
16119,,99909,99908,4,4,"6-4 6-4",,,,,
16119,,97954,99910,4,5,"6-0 6-3",,,,,
16119,,80988,67054,4,6,"6-2 6-1",,,,,
16119,,99912,99911,4,7,"6-1 6-1",,,,,
16119,,99913,96972,4,8,"6-2 6-1",,,,,
16119,,99906,97037,9,1,"6-0 7-5",,,,,
16119,,98043,99909,9,2,"7-5 6-4",,,,,
16119,,99913,99912,9,4,"6-2 6-2",,,,,
16119,,99906,98043,10,1,"6-1 6-2",,,,,
16119,,80988,99913,10,2,"7-5 7-6(5)",,,,,
16119,,99906,80988,12,1,,,,,,
16122,,99914,74085,4,1,"6-1 7-5",,,,,
16122,,99915,99916,4,2,"1-6 7-5 10-6",,,,,
16122,,99918,99917,4,3,"6-2 6-1",,,,,
16122,,96043,99919,4,4,"6-4 6-3",,,,,
16122,,83529,99921,4,6,"6-4 6-2",,,,,
16122,,99923,97510,4,8,"6-4 6-4",,,,,
16122,,99915,99914,9,1,"7-6(4) 6-3",,,,,
16122,,96043,99918,9,2,"6-0 6-4",,,,,
16122,,83529,99225,9,3,"7-6(6) 6-1",,,,,
16122,,99923,99922,9,4,"6-0 6-2",,,,,
16122,,99915,96043,10,1,"6-3 6-4",,,,,
16122,,83529,99923,10,2,"6-3 6-3",,,,,
16122,,99915,83529,12,1,,,,,,
16119,,72666,71554,2,6,"6-0 6-2",,,,,
16120,,25824,83262,1,8,"6-1 6-2",,,,,
16117,"03/26/25 11:05:00",51960,27773,4,3,"6-4 6-0",,,,,
16117,"03/26/25 13:40:00",53488,90507,4,4,"6-3 6-2",,,,,
16117,"03/26/25 11:05:00",37618,45852,4,5,"6-4 6-1",,,,,
16117,"03/25/25 12:50:00",54384,66589,4,6,"6-4 3-6 7-5",,,,,
16117,"03/26/25 11:10:00",72741,39731,4,7,"6-2 6-7(3) 6-3",,,,,
16117,"03/26/25 12:41:00",53771,12583,4,8,"7-5 7-6(3)",,,,,
16117,"03/25/25 11:15:00",8757,16919,4,9,"6-1 7-5",,,,,
16117,"03/25/25 11:05:00",86330,73838,4,10,"6-2 7-5",,,,,
16118,,78153,3700,4,29,"bye",,,,,
16118,"03/25/25 18:10:00",14504,57526,4,30,"6-4 6-7(4) 6-1",,,,,
16118,"03/24/25 22:45:00",78152,62880,4,31,"6-7(4) 6-1 6-2",,,,,
16118,,79059,3700,4,32,"bye",,,,,
16118,"03/26/25 16:40:00",32186,61481,5,1,"6-0 4-6 6-3",,,,,
16118,"03/26/25 16:35:00",66592,17500,5,2,"6-1 3-6 6-1",,,,,
16118,"03/26/25 16:40:00",87418,55186,5,3,"6-2 7-6(0)",,,,,
16118,"03/26/25 16:35:00",73977,9362,5,4,"6-4 6-3",,,,,
16118,"03/26/25 16:35:00",71462,16947,5,6,"6-3 6-2",,,,,
16118,"03/26/25 16:30:00",23648,17893,5,7,"3-6 6-3 6-3",,,,,
16118,"03/26/25 16:35:00",32501,50297,5,8,"4-6 7-5 7-6(1)",,,,,
16117,"03/26/25 11:05:00",43263,72660,4,12,"6-2 6-2",,,,,
16117,"03/25/25 12:50:00",44823,70849,4,13,"6-4 6-2",,,,,
16117,"03/26/25 12:38:00",61290,34470,4,14,"6-2 6-2",,,,,
16117,"03/25/25 11:05:00",32675,89247,4,15,"6-3 6-4",,,,,
16117,"03/27/25 11:05:00",74257,74077,5,1,"6-4 6-7(6) 6-2",,,,,
16117,"03/27/25 11:10:00",53488,51960,5,2,"5-7 6-3 6-3",,,,,
16117,"03/27/25 13:25:00",72741,53771,5,4,"6-1 6-2",,,,,
16117,"03/27/25 11:05:00",43263,57275,5,6,"6-3 6-3",,,,,
16117,"03/27/25 12:45:00",44823,61290,5,7,"6-3 6-3",,,,,
16117,"03/27/25 13:50:00",32675,36822,5,8,"7-5 6-3",,,,,
16117,"03/28/25 11:05:00",74257,53488,9,1,"6-4 6-3",,,,,
16117,"03/28/25 11:05:00",37618,72741,9,2,"6-2 7-5",,,,,
16117,"03/28/25 11:05:00",43263,86330,9,3,"7-6(0) 6-2",,,,,
16117,"03/29/25 11:00:00",74257,37618,10,1,,,,,,
16117,"03/29/25 11:00:00",43263,32675,10,2,,,,,,
16117,,3700,3700,12,1,,,,,,
16119,,18194,99883,2,7,"6-1 6-1",,,,,
16121,,69395,35603,2,9,"6-0 3-0 ret.",,,,,
16115,"03/24/25 14:35:00",57213,46204,3,2,"7-6(2) 6-4",,,,,
16116,"03/25/25 19:05:00",11959,15504,4,1,"6-3 7-5",,,,,
16116,"03/25/25 19:05:00",11931,40537,4,2,"6-3 6-2",,,,,
16116,"03/25/25 22:45:00",11306,36546,4,3,"2-6 7-6(3) 6-3",,,,,
16116,"03/25/25 19:05:00",61291,17122,4,4,"6-0 6-1",,,,,
16116,"03/26/25 20:30:00",51696,28075,4,6,"6-4 6-4",,,,,
16116,"03/26/25 19:05:00",10343,42867,4,7,"6-2 7-5",,,,,
16116,"03/26/25 20:40:00",26145,51486,4,8,"6-1 6-4",,,,,
16116,"03/25/25 21:00:00",11066,14387,4,9,"6-0 7-5",,,,,
16116,"03/26/25 22:30:00",42244,66717,4,10,"6-2 6-4",,,,,
