id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
51437,2,1,1,1,6,61,53,43,46,78,0,0
51468,1,0,1,2,4,53,60,22,28,0,0,0
51484,1,1,0,3,7,63,59,42,69,42,0,0
51695,18,9,9,23,119,56,59,40,56,48,0,0
51808,37,11,26,51,216,59,57,42,46,49,0,0
51927,6,2,4,0,18,69,52,42,44,45,0,0
52262,2,1,1,1,7,61,51,43,40,42,0,0
52380,17,0,17,16,79,55,51,30,40,40,0,0
52492,7,2,5,1,20,66,48,36,42,50,0,0
52494,1,0,1,2,1,58,50,58,60,66,0,0
52529,21,7,14,35,62,62,58,47,45,46,0,0
52530,13,4,9,13,86,62,54,42,41,39,0,0
52623,10,1,9,1,23,66,44,28,36,42,0,0
52642,2,1,1,2,4,70,59,47,46,41,0,0
52744,43,17,26,42,85,68,55,44,45,45,0,0
52770,7,2,5,0,41,48,55,30,31,56,0,0
52771,16,5,11,22,45,50,63,43,48,41,0,0
52774,35,15,20,13,157,65,55,42,50,49,0,0
52778,1,0,1,3,2,71,52,50,58,40,0,0
52939,4,1,3,2,11,72,57,47,53,65,0,0
52943,14,6,8,15,27,72,59,47,54,49,0,0
53099,17,7,10,12,190,54,61,36,52,46,0,0
53303,4,0,4,0,17,67,42,26,39,47,0,0
53307,3,0,3,2,16,52,37,34,33,13,0,0
53308,1,0,1,0,4,59,6,18,33,0,0,0
53485,19,12,7,25,64,71,57,43,50,52,0,0
53586,7,2,5,4,29,68,50,40,44,49,0,0
53591,2,0,2,0,8,67,46,25,8,42,0,0
53768,1,0,1,4,8,50,63,36,80,14,0,0
53778,8,3,5,5,25,54,53,47,47,46,0,0
53794,30,10,20,56,67,66,59,41,46,45,0,0
54096,1,0,1,0,2,64,37,15,40,0,0,0
54105,8,4,4,3,34,59,56,43,55,44,0,0
54242,1,0,1,1,6,60,44,45,0,50,0,0
54244,5,0,5,2,13,66,45,32,49,37,0,0
54258,1,0,1,1,9,37,52,40,37,25,0,0
54384,41,13,28,53,140,55,58,41,48,48,0,0
54484,29,14,15,30,131,71,58,39,47,50,0,0
54486,11,2,9,10,70,57,52,31,46,44,0,0
54637,3,1,2,6,9,65,59,36,48,43,0,0
54642,9,3,6,3,25,63,55,46,52,65,0,0
54803,3,1,2,2,5,72,51,45,29,64,0,0
54806,7,2,5,10,17,68,54,48,44,40,0,0
54830,31,11,20,32,137,66,54,37,47,44,0,0
54940,2,0,2,0,9,53,32,35,40,18,0,0
54952,10,3,7,3,28,73,50,37,49,63,0,0
54955,2,0,2,1,7,57,50,42,11,8,0,0
54988,1,0,1,0,7,51,35,6,0,66,0,0
55117,12,3,9,20,57,61,60,41,46,27,0,0
55122,18,5,13,18,86,51,55,40,38,50,0,0
55132,7,1,6,3,19,70,55,44,54,42,0,0
55142,1,0,1,0,14,62,60,13,53,100,0,0
55145,1,0,1,0,0,55,45,47,33,33,0,0
55151,21,11,10,13,86,68,58,40,47,47,0,0
55179,5,0,5,2,29,55,39,30,33,57,0,0
55360,1,0,1,1,9,43,31,36,45,0,0,0
55364,10,6,4,27,59,50,71,44,61,50,0,0
55366,1,0,1,0,2,76,48,60,28,15,0,0
55369,2,0,2,2,5,61,62,46,58,33,0,0
55527,3,1,2,13,13,62,68,41,54,41,0,0
55553,4,2,2,2,9,70,51,43,27,48,0,0
55554,9,4,5,3,30,70,60,43,43,52,0,0
55555,8,1,7,24,43,65,54,41,34,58,0,0
55662,5,4,1,7,63,57,62,38,43,50,0,0
55678,4,0,4,0,20,70,48,33,46,41,0,0
55679,1,0,1,0,10,55,50,20,41,100,0,0
55680,1,0,1,1,13,43,36,24,0,66,0,0
55697,9,5,4,26,30,59,65,42,54,46,0,0
55825,15,5,10,9,62,66,57,41,56,47,0,0
55827,15,5,10,7,56,61,53,35,41,47,0,0
