ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
58,"Pro",68,181,"Halle, Germany","Munich, Germany","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/110329",,,,"01.01.2023"
59,"Pro(August1994)/Retired(May28,2011)",56,168,"Basel, Switzerland","Baech, Switzerland","Left-handed (two-handed backhand)",,"http://www.patty-schnyder.net/","http://www.wtatennis.com/player-profile/190519","https://twitter.com/pattyschnyder","https://www.facebook.com/patty.schnyder/","https://www.instagram.com/pattyschnyder/","01.01.2023"
60,"Pro(1992)",65,178,"Surahammar, Sweden","Vasteras, Sweden","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/30227",,,,"01.01.2023"
61,,,,,,,,,"http://www.wtatennis.com/players/130292/anne-miller",,,,"01.01.2023"
62,"Pro(July1986)/Retired(2001)",62,177,"Vienna, Austria","Hinterbruehl, Austria","Right-handed",,,"http://www.wtatennis.com/player-profile/160013",,,,"01.01.2023"
63,"Pro(April1,1994)",57,168,"New York, New York, USA","Tokyo, Japan","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/190491",,,,"01.01.2023"
64,,,,,,,,,"http://www.wtatennis.com/player-profile/130276",,,,"01.01.2023"
65,"Pro(May15,1995)",66,184,"Poznan, Poland","Krakow, Poland","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/70322",,,,"01.01.2023"
66,"Pro(September1998)",55,165,"Luxembourg, Luxembourg","Hesperange, Luxembourg","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/110242",,"https://www.facebook.com/anne.kremer.921/",,"01.01.2023"
67,"Pro(Oct.17,1992)",62,175,"Trinec, Czech Republic","Otavska, Czech Republic","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/players/30299/lenka-cenkova",,,,"01.01.2023"
68,"Pro/Retired1999",60,169,"Lvov, Ukraine","Yurmala, Latvia","Right-handed",,,"http://www.wtatennis.com/player-profile/190019",,,,"01.01.2023"
69,,,,,,,,,"http://www.wtatennis.com/player-profile/40247",,,,"01.01.2023"
70,"Pro(April8,1991)",54,160,"Hiroshima, Japan","Fukuyama City, Japan","Right-handed",,,"http://www.wtatennis.com/player-profile/50056",,,,"01.01.2023"
71,"Pro(June1985)/Retired(November2002)",56,169,"Barcelona, Spain","Barcelona, Spain","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/190008",,"https://www.facebook.com/sanchezvicario/",,"01.01.2023"
72,"Pro(January1990)",63,175,"St. Louis, Missouri, USA","Rochester, Michigan, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/60034",,,,"01.01.2023"
73,,,,,,,,,"http://www.wtatennis.com/player-profile/40054",,,,"01.01.2023"
74,"Pro(March5,1990)",72,170,"New York, New York, USA","Wesley Chapel, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/30200","https://twitter.com/jencapriati","https://www.facebook.com/JenniferCapriatiFans/",,"01.01.2023"
75,"Pro(August1991)",58,168,"Lafayette, Louisiana, USA","Lafayette, Louisiana, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/180175","https://twitter.com/chanda_rubin","https://www.facebook.com/chandarubinfoundation/","https://www.instagram.com/thechandarubin/","01.01.2023"
76,,,,,,,,,"http://www.wtatennis.com/player-profile/190167",,,,"01.01.2023"
77,"Pro",60,170,"Bojnice, Slovakia","Bratislava, Slovakia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/80186",,,,"01.01.2023"
78,"Pro(February22,1993)",79,189,"Palos Verdes, CA, USA","Laguna Beach, CA, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/40106","https://twitter.com/ldavenport76","https://www.facebook.com/lindsay.d.leach/",,"01.01.2023"
79,"Pro(May1993)",55,165,"Norristown, PA, USA","Media, PA, USA","Right-handed (one-handed backhand)",,,"http://www.wtatennis.com/player-profile/180144","https://twitter.com/lisaraymond73","https://www.facebook.com/LisaRaymondOfficial/","https://www.instagram.com/lisamraymond/","01.01.2023"
80,,,,,,,,,"http://www.wtatennis.com/player-profile/190246",,,,"01.01.2023"
81,"Pro(October31,1994)",50,163,"Tarzana, California, USA","Porter Ranch, California, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/200204","https://twitter.com/fireballtu",,"https://www.instagram.com/meilen/","01.01.2023"
82,"Pro1986/Retired2000",63,176,"Dominican Republic","Miami, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/60016",,,,"01.01.2023"
83,"Pro(January1988)/Ret.(June2004)",54,158,"Hoopstad, South Africa","Hoopstad, South Africa","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/30037",,,,"01.01.2023"
84,"Pro(June1991)",54,160,"Los Angeles, California, USA","Rolling Hills, California, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/160101",,,,"01.01.2023"
85,"Pro(May1988)",62,174,"Minsk, USSR","Minsk, Belarus","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/260013",,,,"01.01.2023"
86,"Pro(August1991)/Retired",61,175,"Zagreb, Croatia","Zagreb, Croatia/Bradenton, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/130316",,,,"01.01.2023"
87,"Pro(1990)/Retired(2000)",68,175,"Bucharest, Romania","Bucharest, Romania","Right-handed",,,"http://www.wtatennis.com/player-profile/190185",,,,"01.01.2023"
88,"Pro(March1989)",68,178,"Montreal, Canada","Sarasota, FL, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/160142","https://twitter.com/_marypierce","https://www.facebook.com/MaryPierceOfficial/","https://www.instagram.com/marypierce_75/","01.01.2023"
89,"Pro(Oct.1990)",56,164,"Yogyakarta, Indonesia","Jakarta, Indonesia","Right-handed",,,"http://www.wtatennis.com/player-profile/20016",,,,"01.01.2023"
90,,,,,,,,,"http://www.wtatennis.com/player-profile/160055",,,,"01.01.2023"
91,"Pro(1994)",59,170,"Kosice, Slovakia","Feusisberg, Switzerland","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/80301","https://twitter.com/mhingis","https://www.facebook.com/MartinaHingisOfficial/","https://www.instagram.com/martinahingis80/","01.01.2023"
92,"ProOct.18,1982/RetiredAug.13,1999",59,175,"Bruhl, Germany","n/a","Right-handed",,"http://www.stefanie-graf.com","http://www.wtatennis.com/player-profile/70044",,,,"01.01.2023"
93,"Pro(February1,1997)",65,173,"Sydney, Australia","Sydney, Australia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/40269",,,,"01.01.2023"
94,"Pro(1998)",63,174,"Sydney, Australia","Sydney, Australia","Right-handed",,,"http://www.wtatennis.com/player-profile/190007",,,,"01.01.2023"
95,"Pro(Nov.1983/Retired(Nov.1997)",65,170,"San Juan, Puerto Rico","Tampa, Florida, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/60014",,,,"01.01.2023"
96,,,,,,,,,"http://www.wtatennis.com/players/130269/barbara-mulej",,,,"01.01.2023"
