ID_T,NAME_T,ID_C_T,DATE_T,RANK_T,LINK_T,COUNTRY_T,PRIZE_T,RATING_T,URL_T,LATITUDE_T,LONGITUDE_T,SITE_T,RACE_T,ENTRY_T,SINGLES_T,DOUBLES_T,TIER_T,RESERVE_INT_T,RESERVE_CHAR_T,LIVE_T,RESULT_T
57,"Australian Open - Melbourne",1,"01/19/15 00:00:00",4,52,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
58,"French Open - Paris",2,"05/25/15 00:00:00",4,53,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
59,"Wimbledon - London",5,"06/29/15 00:00:00",4,54,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
60,"U.S. Open - New York",1,"08/31/15 00:00:00",4,55,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
61,"Hopman Cup - Perth",1,"01/04/16 00:00:00",6,56,"AUS",,,"http://www.hopmancup.com",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
62,"Australian Open - Melbourne",1,"01/18/16 00:00:00",4,57,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
63,"French Open - Paris",2,"05/23/16 00:00:00",4,58,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
64,"Wimbledon - London",5,"06/27/16 00:00:00",4,59,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
65,"U.S. Open - New York",1,"08/29/16 00:00:00",4,60,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
66,"Olympics - Rio de Janeiro",1,"08/08/16 00:00:00",2,45,"BRA",,,,-22.54,-43.12,"1",,,,,"Olympic Tennis Event",,,,
67,"Hopman Cup - Perth",1,"01/02/17 00:00:00",6,61,"AUS",,,"http://www.hopmancup.com",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
68,"Australian Open - Melbourne",1,"01/16/17 00:00:00",4,62,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
69,"French Open - Paris",2,"05/29/17 00:00:00",4,63,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
70,"Wimbledon - London",5,"07/03/17 00:00:00",4,64,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
71,"U.S. Open - New York",1,"08/28/17 00:00:00",4,65,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
72,"Hopman Cup - Perth",1,"01/01/18 00:00:00",6,67,"AUS",,,"http://www.hopmancup.com",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
73,"Australian Open - Melbourne",1,"01/15/18 00:00:00",4,68,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
74,"French Open - Paris",2,"05/28/18 00:00:00",4,69,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
75,"Wimbledon - London",5,"07/02/18 00:00:00",4,70,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
76,"U.S. Open - New York",1,"08/27/18 00:00:00",4,71,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
77,"Hopman Cup - Perth",1,"01/01/19 00:00:00",6,72,"AUS",,,"http://www.hopmancup.com/",-31.57,115.51,,,,,,"Non ATP/WTA Event",,,,
78,"Australian Open - Melbourne",1,"01/14/19 00:00:00",4,73,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
79,"French Open - Paris",2,"05/27/19 00:00:00",4,74,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
80,"Wimbledon - London",5,"07/01/19 00:00:00",4,75,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
81,"U.S. Open - New York",1,"08/26/19 00:00:00",4,76,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
82,"Australian Open - Melbourne",1,"01/20/20 00:00:00",4,78,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
83,"Australian Open - Melbourne",1,"02/08/21 00:00:00",4,82,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
84,"French Open - Paris",2,"05/31/21 00:00:00",4,79,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
85,"Wimbledon - London",5,"06/28/21 00:00:00",4,80,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
86,"U.S. Open - New York",1,"08/30/21 00:00:00",4,81,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
87,"Olympics - Tokyo",1,"07/26/21 00:00:00",2,66,"JPN",,,,35.42,139.46,"1",,,,,"Olympic Tennis Event",,,,
88,"Australian Open - Melbourne",1,"01/17/22 00:00:00",4,83,"AUS",,,"https://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
89,"French Open - Paris",2,"05/23/22 00:00:00",4,84,"FRA",,,"https://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
90,"Wimbledon - London",5,"06/27/22 00:00:00",4,85,"GBR",,,"https://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
91,"U.S. Open - New York",1,"08/29/22 00:00:00",4,86,"USA",,,"https://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
92,"Australian Open - Melbourne",1,"01/16/23 00:00:00",4,88,"AUS",,,"https://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
93,"French Open - Paris",2,"05/29/23 00:00:00",4,89,"FRA",,,"https://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
94,"Wimbledon - London",5,"07/03/23 00:00:00",4,90,"GBR",,,"https://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
95,"U.S. Open - New York",1,"08/28/23 00:00:00",4,91,"USA",,,"https://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
96,"United Cup - Australia",1,"01/02/23 00:00:00",2,,"AUS","$15M",,,-33.52,151.13,,,,,,"United Cup",,,,
97,"Hopman Cup - Nice",2,"07/17/23 00:00:00",6,77,"FRA",,,"http://www.hopmancup.com/",43.42,7.15,,,,,,"Non ATP/WTA Event",,,,
98,"United Cup - Australia",1,"01/01/24 00:00:00",2,96,"AUS",,,,-33.52,151.13,,,,,,"United Cup",,,,
99,"Australian Open - Melbourne",1,"01/15/24 00:00:00",4,92,"AUS",,,"https://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
100,"French Open - Paris",2,"05/27/24 00:00:00",4,93,"FRA",,,"https://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
101,"Wimbledon - London",5,"07/01/24 00:00:00",4,94,"GBR",,,"https://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
102,"Olympics - Paris",2,"07/29/24 00:00:00",2,87,"FRA",,,,48.52,2.2,,,,,,"Olympic Tennis Event",,,,
103,"U.S. Open - New York",1,"08/26/24 00:00:00",4,95,"USA",,,"https://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
104,"United Cup - Australia",1,"01/01/25 00:00:00",2,98,"AUS",,,,-33.52,151.13,,,,,,"United Cup",,,,
105,"Australian Open - Melbourne",1,"01/13/25 00:00:00",4,99,"AUS",,,"https://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
106,"French Open - Paris",2,"05/26/25 00:00:00",4,100,"FRA",,,"https://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
107,"Wimbledon - London",5,"06/30/25 00:00:00",4,101,"GBR",,,"https://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
108,"U.S. Open - New York",1,"08/25/25 00:00:00",4,103,"USA",,,"https://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
