match_id,match_timestamp,p1_name,p2_name,p1_avg_1st_sv_speed,p2_avg_1st_sv_speed,p1_avg_2nd_sv_speed,p2_avg_2nd_sv_speed,p1_winners,p2_winners,p1_unforced_errors,p2_unforced_errors,p1_net_points_won,p2_net_points_won,p1_net_points_played,p2_net_points_played,data_added_timestamp
88zLVDF6,1756073400,Nava E.,Fritz T.,,,,,,,,,,,,,1756122791.160353
lA8h2wF7,1756073400,Blanchet U.,Marozsan F.,,,,,,,,,,,,,1756122787.474752
8EuJIbal,1756070100,Shelton B.,Buse I.,,,,,,,,,,,,,1756122783.786571
W2Ff9K3S,1756066200,Shevchenko A.,Davidovich Fokina A.,,,,,,,,,,,,,1756122780.09916
tzdcw5HF,1756066200,Mensik J.,Jarry N.,,,,,,,,,,,,,1756122776.41201
G8fxeUrI,1756066200,Carballes Baena R.,Rinderknech A.,,,,,,,,,,,,,1756122772.931722
bPJuvdDj,1755962700,Molcan A.,Schwaerzler J. J.,,,,,,,,,,,,,1756079228.993183
0CtR6tG6,1755963300,Echargui M.,Added D.,,,,,,,,,,,,,1756079225.308481
IR98AreE,1755965400,Stebe C.,Ritschard A.,,,,,,,,,,,,,1756079221.824968
Ecey7nrn,1755921300,Van De Zandschulp B.,Mpetshi Perricard G.,,,,,,,,,,,,,1756079214.247377
6RUvfhzK,1755873000,Dodig M.,Molcan A.,,,,,,,,,,,,,1756079199.091452
C83tuJQp,1755868200,Schwaerzler J. J.,Sharipov M.,,,,,,,,,,,,,1756079195.617771
AeqWNehg,1755877200,Echargui M.,Bertrand R.,,,,,,,,,,,,,1756079192.128527
69y9cRtC,1755867900,Jodar R.,Added D.,,,,,,,,,,,,,1756079187.651658
GhIAvEwp,1755885900,Squire H.,Ritschard A.,,,,,,,,,,,,,1756079184.141173
GxEGlD3e,1755877200,Kolar Z.,Stebe C.,,,,,,,,,,,,,1756079180.659579
Awnyq3TP,1755875400,Ritschard A.,Negritu Ch.,,,,,,,,,,,,,1756079176.973355
tCaTFsBU,1755910800,Korda S.,Fucsovics M.,,,,,,,,,,,,,1756079170.000546
0QRmfWt3,1755908100,Bu Y.,Van De Zandschulp B.,,,,,,,,,,,,,1756079166.52846
d2lyobT8,1755834600,Medjedovic H.,Mpetshi Perricard G.,,,,,,,,,,,,,1756079162.852065
0rTruXwq,1755908400,Faria J.,Blanchet U.,,,,,,,,,,,,,1756079159.35945
l2UcldYg,1755907500,Kym J.,Wu Y.,,,,,,,,,,,,,1756079155.059246
dpRyq1dE,1755904500,Mochizuki S.,Galan D. E.,,,,,,,,,,,,,1756079148.504571
WMa4Losg,1755903300,Kubler J.,Prizmic D.,,,,,,,,,,,,,1756079144.554992
OdddN7Ct,1755901500,Duckworth J.,Piros Z.,,,,,,,,,,,,,1756079141.16401
hjToYOQb,1755900900,Merida Aguilar D.,Harris L.,,,,,,,,,,,,,1756079137.552919
tvdIOBg2,1755900900,De Jong J.,Krueger M.,,,,,,,,,,,,,1756079133.005336
dOZxzodn,1755900600,Wong C.,Harris B.,,,,,,,,,,,,,1756079129.314718
6ebqwB8e,1755900600,Passaro F.,Rocha H.,,,,,,,,,,,,,1756079125.587045
0IXcEUZP,1755900300,Huesler M.,Svajda Z.,,,,,,,,,,,,,1756079121.10333
0xUH4D86,1755893400,Gomez F. A.,Grenier H.,,,,,,,,,,,,,1756079117.446172
4xiomPwB,1755893400,Coppejans K.,Buse I.,,,,,,,,,,,,,1756079113.738885
